Name,Comment_text,Time,Likes,Reply Count
Arifa Jan,Feel ful song,2021-03-25T17:23:54Z,0,0
Shabe Noor,My fvt song...❤️,2021-03-25T17:01:42Z,0,0
meraj wajid,Pakistani singers ki awaz our bol. I just love pakistani songs. Meaning full our deep love songs 😘❤️..  🎶🎵🎶🎧,2021-03-25T16:47:13Z,0,0
Aliya khan,"One of the most interesting serial ,drama is FITOOR❤️❤️❤️👍👍love 💕💕💕💕 from Mumbai India ..plz 14th episode b bataiye use Ke agye k episodes bhi india k liye available kijiye 🙏🙏🙏🙏lots of love 😘😘😘😘 FITOOR ❤️",2021-03-25T15:46:31Z,0,0
Daim Asif,My fav song,2021-03-25T15:14:44Z,0,0
Shah Humama,Iskai kitnai episode hae,2021-03-25T15:08:38Z,0,0
Laiba Kamal,😍😍😍😍😍😍😍😍😍😍😍😍😍😍🤩🤩🤩🤩🤩🤩🤩🤩🤩🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭😘😘😘😘😘😘😘😘😌😚😚😚🙃🙃🙃🙃🙃,2021-03-25T14:34:34Z,0,0
Noora Noorakhan,Allah har kese ko uska Pyar Dy qyamat Tak zendage Dy ❤️,2021-03-25T14:28:21Z,0,0
Abdur Rahmam,Nice really,2021-03-25T14:13:06Z,1,0
PRG FARIQ,❤❤❤❤❤❤,2021-03-25T14:00:45Z,0,0
PRG FARIQ,💯💯💯💯💯💯,2021-03-25T14:00:33Z,0,0
Speed Engineering,Pm on on,2021-03-25T13:51:45Z,0,0
Rajiya Bano,Nice and beauty,2021-03-25T13:36:35Z,0,0
Ulfat Hassan,After  listening this song <br />Me : Nikl jaye jaan ❤❤❤,2021-03-25T12:59:10Z,0,0
Mazhar Ali,So Beautiful drama,2021-03-25T12:39:57Z,0,0
Aleeza Ijaz,This song makes me cry 😢 <br />Full of emotions 💔<br />Lyrics are just 💔 hayeeeeee  😢😥,2021-03-25T11:56:20Z,0,0
sheikh kashif,Kun kun sunta ha yah song,2021-03-25T10:15:33Z,1,0
Zeenat Ramzan,Heard touching this song.❤💔,2021-03-25T09:55:53Z,0,0
Dua Gaming,So funny,2021-03-25T09:50:10Z,0,0
Arif Arif,😂🤣😀😆,2021-03-25T09:18:29Z,0,0
